id	category	descript
465	MISC	it's good but, like the movie is never as good as the book, this is same analogy.
466	MISC	it was a very warm experience.
467	MISC	I went to Common Stock for brunch and I was so impressed.
468	FOOD	now called nikki sushi, sushi is OK.
469	FOOD	The food is also outstanding and is served quite quickly.
470	MISC	I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.
471	FOOD	From the erbazzone emiliana to the mostarda on the cheese plate, the dishes at this restaurant are all handled with delicate care.
472	FOOD	The food is delicious and the bar has a great vibe.
473	MISC	expectations were real hi reading the '10's'.
474	PAS	There's candlelight and music.
475	MISC	It's nice to find a place that is open 24 hours (especially in downtown Brooklyn).
476	FOOD	Simple healthy unglamorous food cheap.
477	MISC	It was such a fantastic dining experience, that I returned again the same week.
478	FOOD	To be fair, the food still is good and the service is quick and attentative even though its usually very busy.
479	FOOD	The place is absolutely adorable and the food is delicious.
480	FOOD	I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.
481	FOOD	I've had better Japanese food at a mall food court.
482	PAS	The staff members are extremely friendly and even replaced my drink once when I dropped it outside.
483	MISC	Cool atmosphere but such a let down.
484	FOOD	The Sashimi portion are big enough to appease most people, but I didn't like the fact they used artifical lobster meat.
485	FOOD	They have wheat crusted pizza made with really fresh and yummy ingredients.
486	FOOD	Had a lovely dinner in this dedicated seafood joint, food was well-prepared and -presented and the service was pleasant and prompt.
487	FOOD	the icing MADE this cake, it was fluffy, not ultra sweet, creamy and light.
488	MISC	Finally let into the store 5 at a time, to buy expensive slices from a harried staff.
489	MISC	We ended up having to just leave because we were essentially being ignored by the wait staff--even though the rest of the restaurant was largely empty.
490	FOOD	The wine list is extensive, well priced and covers alot of regions.
491	FOOD	Go here if you want fresh and tasty salads of any type you can imagine.
492	MISC	Everything about this place is adorable - even the bathroom!
493	FOOD	Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.
494	MISC	THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.
495	MISC	IT WAS OUR ONLY OPPORTUNITY TO VISIT AND WANTED AN AUTHENTIC ITALIAN MEAL.
496	FOOD	It took 100 years for Parisi to get around to making pizza (at least I don't think they ever made it before this year)...but it was worth the wait.
497	FOOD	I asked for a simple medium rare steak.
498	FOOD	Generously garnished, organic grilled burgers are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious.
499	MISC	Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.
500	FOOD	Result (red velvet): Great texture, soft and velvety, nice hint of cocoa.
501	MISC	Ask for the round corner table next to the large window.
502	FOOD	Their twist on pizza is heatlhy, but full of flavor.
503	MISC	The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.
504	MISC	I love the Little Pie Company as much as anyone else who has written reviews, but must discourage anyone from visiting the Grand Central location due to their RUDE service from two sales people.
505	MISC	Unfortunately, unless you live in the neighborhood, it's not in a convenient location but is more like a hidden treasure.
506	FOOD	Didn't seem like any effort was made to the display and quality of the food.
507	FOOD	The food--though mostly deep-fried--is simple and satisfying.
508	MISC	We live in the neighborhood and have been going there twice a week since the day they first opened.
509	FOOD	Glechik might be way too tiny for a restaurant by Russian standards, but it is cozy and the food is simply GREAT.
510	FOOD	The food was excellent - authentic Italian cuisine made absolutely fresh.
511	PAS	At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered.
512	FOOD	The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service.
513	FOOD	I would only go for the coffee which is way better than Starbucks or the like.
514	MISC	I used to be a regular costumer at pongal until dosa hut opened right next door to it.
515	FOOD	Somewhat disappointing wine list (only new vintages.
516	MISC	Both were very good, but nothing you couldn't get at similar restaurant.
517	FOOD	If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!
518	FOOD	new hamburger with special sauce is ok - at least better than big mac!
519	FOOD	Perfectly al dente pasta, not drowned in sauce -- generous portions.
520	FOOD	I can understand the prices if it served better food, like some Chinese restaurants in midtown/uptown area.
521	MISC	Service was awful - mostly because staff were overwhelmed on a Saturday night.
522	MISC	To the owners; good job guys, this place is a keeper!
523	PAS	and the owner is simply lovely and friendly.
524	PAS	This little place is wonderfully warm welcoming.
525	MISC	perfect for a quick meal.
526	PAS	Has the warmth of a family local yet it is a great place to watch sporting events.
527	PAS	The service was great, and they have a whole great deal for birthdays.
528	FOOD	The staff is 100% Italian and the food is as authentic as it gets.
529	MISC	My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.
530	MISC	Good for a quick sushi lunch.
531	FOOD	Have a mojito and sit in the back patio.
532	PAS	The service was dreadfully slow (the place was only half full) and a smile would have been nice...
533	FOOD	I went this past Saturday and had a excellent meal of consisting of a braised lamb shank with mashed potatoes.
534	PAS	The waitress came by to pick up the soy sauce WHILE we were eating our lunch!!!!!
535	PAS	So we sat at the bar, the bartender didn't seem like he wanted to be there.
536	FOOD	I reccomend the fried pork dumplings, the orange chicken/beef, and the fried rice.
537	FOOD	You will not be dissapointed by any of the choices in the menu.
538	FOOD	The french fries -- with the kalmata dip were terrific!
539	PAS	Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?
540	FOOD	The boutique selection of wines covers a wide variety without being imposeing.
541	PAS	If you're lucky and there's not a private party going on back there, you'll get a chance to really chill out.
542	FOOD	They also have a great assortment of wraps if your not in the mood for traditional Mediterranean fare.
543	FOOD	Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious.
544	FOOD	Disappointingly, their wonderful Saketini has been taken off the bar menu.
545	PAS	In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.
546	FOOD	I would definitely go back -- if only for some of those exotic martinis on the blackboard.
547	MISC	They are located off the beaten path but are certainly worth the trip.
548	MISC	then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.
549	PAS	The happy hour is so cheap, but that does not reflect the service or the atmosphere.
550	PAS	After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order.
551	MISC	With all the mundane or mediocre places on 8th avenue it is nice to have one that is a step above in quaility and atmosphere.
552	FOOD	A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices.
553	FOOD	Give it a try, menu is typical French but varied.
554	PAS	It gets crowded at lunchtime but there are lots of seats in back and everyone who works there is so nice.
555	PAS	but for the value, it was a great affordable spot to enjoy a fun night out with small group.
556	FOOD	the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.
557	FOOD	We ordered a glass of wine and were finished eating and paying before the wine came.
558	FOOD	It was good, but none of the flavors WOW.
559	PAS	Overall, this is a nice place to take a few friends to hang out at and the service is excellent.
560	FOOD	Food is excellent quality for a good restaurant price.
561	MISC	Actually, everyone who worked there seemed to be annoyed.
562	FOOD	for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert.
563	PAS	The space is traditional in feel.
564	PAS	the restaurant was completely empty, but she gave me a dirty look and asked, no reservations?
565	FOOD	the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.
566	FOOD	Good service, great food, good value, and never have to wait in line!
567	FOOD	Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.
568	FOOD	I have been going to this restaurant for years, in the past the service was average and the food inconsistant.
569	FOOD	The music was fascinating, but left room for conversation, and the bartender made superb drinks.
570	FOOD	rice dishes and noodle dishes rarely exceed $5 and add on a refreshing ice drink for $2 and you're set for the night!
571	FOOD	Cuisine is billed as asian fusion - doesn't meet the bill.
572	FOOD	Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.
573	FOOD	Dishes denoted as "Roy's Classics" (marked on the menu with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs.
574	FOOD	The cold sesame noodles, which are a freebie when you order $10+, are delectable.
575	FOOD	I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.
576	FOOD	The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.
577	MISC	I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing.
578	MISC	Best Chinese on the Upper East, prompt delivery, good value.
579	FOOD	Most of the sandwiches are made with soy mayonaise which is actually pretty good.
580	PAS	i went in one day asking for a table for a group and was greeted by a very rude hostess.
581	MISC	It's worthwhile to take a cab to Chelsea just for an awesome dinner at My Chelsea.
582	FOOD	Not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine.
583	FOOD	It has good music, nice tapas, an interesting selection of wines (primarily Spanish) and a lowkey hip neighborhood clientele.
584	FOOD	The food is great, I love their dumplings, cold sesame noodles, chicken and shrimp dishs.
585	FOOD	And the food, well the food will keep you coming back.
586	PAS	Waiting three hours before getting our entrees was a treat as well.
587	PAS	It's the conversations that make this a fun place to be.
588	FOOD	My gf's duck confitte was very solid as well, although i have little base of reference.
589	FOOD	The wine list was superb, our tapas delightful, and the quiet atmosphere perfect for good conversation.
590	FOOD	You can eat gourmet food at a fast food price.
591	FOOD	I've eaten at all three locations and I always love, love the food, the service is always wonderful and the prices are really reasonable.
592	FOOD	Not because I was pregnant, but the food here is always delicious.
593	FOOD	Had a great meal there this weekend before heading to the movies!
594	FOOD	We had a birthday party here recently and the food and service was amazing.
595	FOOD	the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives.
596	FOOD	This place has the strangest menu and the restaurants tries too hard to make fancy food.
597	FOOD	The appetizers are ok, but the service is slow.
598	FOOD	the food - not worth the price.
599	PAS	What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).
600	PAS	The prices are not terrible.
601	PAS	15% gratuity automatically added to the bill.
602	FOOD	The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal.
603	FOOD	Food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.
604	FOOD	Both a number of the appetizer and pasta specials were amazing.
605	FOOD	All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available.
606	PAS	Although somewhat loud, the noise was minimally intrusive.
607	FOOD	It's a basic pizza joint, not much to look at, but the pizza is what I go for.
608	PAS	Tables are close, so you better be comfortable bumping elbows with other patrons.
609	MISC	Was her Monday for lunch - was working on a film in the area - and found this rare jewel.
610	PAS	Not too much so, but enough that there's a great scene.
611	MISC	You feel like you made it to New York when you eat here.
612	MISC	We'd walked by it dozens of times and finally settled on a Monday night.
613	MISC	SUM IT: don't read the '10's' reviews, try it to judge for yourself so you won't have as hi expectations, then you'll be sure to enjoy it.
614	PAS	We went there, no one greeted us.
615	PAS	Dug the blue bar area too.
616	PAS	We spent so much time getting elbowed around while we waited we left.
617	MISC	I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area.
618	FOOD	Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices.
619	PAS	At peak times, the restaurant is overcrowded and tables are uncomfortably close.
620	PAS	The service was on point - what else you would expect from a Ritz?
621	FOOD	Menus feature seasonal picks, like sweet corn-foie gras brulee.
622	FOOD	Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce.
623	FOOD	And these are not small, wimpy fast food type burgers - these are real, full sized patties.
624	PAS	There restaurant is very casual, but perfect for lunch, and their delivery service is always very fast.
625	FOOD	Chinatown definitely has better quality with cheaper prices.
626	PAS	I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.
627	MISC	I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .
628	FOOD	Go with the specials, and stay away from the salmon.
629	FOOD	The pastas were pretty good.
630	PAS	Atmosphere is a bore.
631	PAS	The decor is what initially got me in the door.
632	PAS	The wait staff was very attentive and polite.
633	FOOD	Great restaurant, and even greater food!
634	FOOD	The dishes are remarkably tasty and such a cozy and intimate place!
635	FOOD	Save room for the desserts! ;-)
636	FOOD	I love the simplicity and respect which was given to the food, as well the staff was freindly and knowledgable.
637	PAS	Service was good and so was the atmosphere.
638	FOOD	MY date and I both ordered the Branzini and both felt the fish was very average.
639	MISC	We were there March 7 and found Maison very nice.
640	FOOD	The food was good, the service prompt, and the price very reasonable.
641	FOOD	Wonderful menu, warm inviting ambiance, great service the FOOD keeps me coming back!
642	FOOD	Great food, good wine and an excellent host.
643	MISC	went there last night with my coworker.
644	FOOD	Pizzas were excellent in addition to appetizers and main courses.
645	FOOD	Definitely try the calamari, any pasta, or even the Sliced steak entree.
646	FOOD	The caeser salad was great.
647	FOOD	The fried calamari was even better!
648	PAS	The atmosphere was nice but it was a little too dark.
649	FOOD	The food was good overall.
650	FOOD	The food was outstanding and the service was tops.
651	FOOD	The portions are very large and the service is fantastic!!
652	FOOD	I recomend the chicken milanese.
653	FOOD	excellent tapas at great prices, romantic, small but not overly crowed, excellent
654	PAS	The service is a quite slow, but friendly.
655	FOOD	The chocolate raspberry cake is heavenly- not too sweet, but full of flavor.
656	FOOD	Our waiter was helpful and charming, the food was perfect, and the wine was good, too.
657	PAS	Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.
658	FOOD	I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.
659	FOOD	Best hot dogs in the tri-state area.
660	MISC	This is a typical example of an establishment in which its owners do not know anything about the restaurant business!
661	MISC	I would not recommend MEET at all, it is a rip off all the way from the time to step in!
662	MISC	Went there for a special celebration.
663	PAS	The restaurant was quiet and intimate.
664	PAS	The service was very attentive and very generous.
665	FOOD	We had tons of great food, wine, and desserts.
666	MISC	Really Lovely dining experience in the midst of buzzing midtown area.
667	MISC	OK, I've been to Dumont a few times now.
668	FOOD	The food really isn't very good and the service is terrible.
669	MISC	Maybe it's that most of Dumont's patrons are younger and have lower expectations, but I cannot recommend Dumont.
670	FOOD	Not only do they have the best escargot in town,they always try to accomodate our toddler.
671	MISC	I've been to Sotto Voce several time, and I have to say this one place that hits the nail right on the head ever time!
672	FOOD	Between my guest and I, we sampled at least 80% of the menu, and they were all hits.
673	PAS	The Deco and ambiance was really romantic.
674	MISC	This is the best unknown restaurant in and around New York.
675	FOOD	Just go in and sample the greatest french food west of Daniel.
676	FOOD	For someone who used to hate Indian food, Baluchi's has changed my mid.
677	FOOD	Finally a curry that I can eat, enjoy and not suffer from gastritis from 3 hours later.
678	FOOD	All are GREAT - poori, naan, paratha all FRESH.
679	FOOD	Try the homemade breads.
680	FOOD	This place has beautiful sushi, and it's delicious CHEAP.
681	FOOD	It also has lots of other Korean dishes that are affordable and just as yummy.
682	FOOD	I went for restaurant week and ordered off the prix fixe menu
683	PAS	Not only was the waiter efficient and courteous, but also extremely helpful.
684	FOOD	It took a bigger bite from my wallet than my appetite - I would not reccomend this to anyone that I would want to talk to me again!!
685	FOOD	This place is classy, chic, the service is warm and hospitable, and the food is outstanding.
686	MISC	I read about this place in Time Out magazine.
687	MISC	It's a great find in Astoria.
688	FOOD	Great burgers, grilled cheeses and french fries.
689	FOOD	The Yellowfin Tuna and Calf's liver are my favorites!
690	FOOD	Sushi so fresh that it crunches in your mouth.
691	PAS	But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.
692	PAS	Despite the 5th ave address there are no frills whick I also love.
693	FOOD	They bring a sauce cart up to your table and offer you up to 7 or 8 choices of sauces for your steak (I tried them ALL).
694	FOOD	Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!
695	FOOD	good variety but nothing surprising.
696	PAS	After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.
697	FOOD	Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.
698	MISC	It's always quiet because it's awful.
699	FOOD	No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion.
700	FOOD	Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix.
701	FOOD	Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.
702	FOOD	I always find myself asking the waiter to make something bland and different than what is on the menu.
703	FOOD	Good cake BUT: it was not the best cake i've ever had, and definately not worth standing outside on the sidewalk being herded like cattle by indifferent and overworked employees.
704	FOOD	The closest that I got was the Cherry Marscapone, but they were out of it that day.
705	FOOD	The homage to India is most evident in the delectable roti canai appetizer, a fried pancake served with pungent curry dipping sauce, while the mango chicken offers a surprisingly sophisticated, fresh take on sweet-and-sour.
706	PAS	It doesn't look like much on the outside, but the minute you walk inside, it's a whole other atmosphere.
707	MISC	I have to say the place was awesome.
708	FOOD	The ground chickpea soup we sampled as a starter tasted somewhat thin.
709	FOOD	We requested they re-slice the sushi, and it was returned to us in small cheese-like cubes.
710	FOOD	The service, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game.
711	FOOD	If you're in the neighborhood, definitely stop by for a great meal.
712	FOOD	Unfortunately, with our show tickets, we didn't have time to sample any desserts.
713	MISC	The restaurant could use a little paint, but all in all a great sushi place!
714	PAS	Make more tables- perhaps a rooftop bar?
715	MISC	The decoration was feeling like we was on the Cairo, actually the street is part of that adventure.
716	FOOD	Although small, it has beautiful ambience, excellent food (the catfish is delicious - if ya don't mind it a lil salty) and attentive service.
717	MISC	I didn't go there for food so I can't comment.
718	MISC	My friends and I go once a week (minimum, we live in the area) and everytime can't resist walking out ready to burst.
719	FOOD	Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great.
720	PAS	Hip boutiques and bars on Ludlow add to the artsy, laid-back atmosphere at this Israeli-style takeout and eat-in burger joint.
721	PAS	Young neighborhood trendies graze at the counter during the day, while chic, art-house drinkers with heavy doses of the munchies pile in late at night.
722	MISC	Bring your date and a bottle of wine!
723	MISC	Not only is this the best Thai restaurant I have been to, but it also ranks as one of my favorite places to dine.
724	MISC	Don't be put off by another reviewers extremely negative review.
725	FOOD	My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few.
726	FOOD	His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14).
727	FOOD	The food is consistant and good but how it got name Best Diner In Manhattan is beyond me.
728	FOOD	The pasta primavera was outstanding as well, lots of fresh veggies.
729	FOOD	don't get me wrong - sushi was good, just not fantastic.
730	FOOD	Being Puerto Rican I know a thing or two about flan and this place serves one of the best (I hope Mom doesn't read this!).
731	FOOD	Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx
732	FOOD	Had dinner here on a Friday and the food was great.
733	FOOD	We recently spent New Year's Eve at the restaurant, and had a great experience, from the wine to the dessert menu.
734	MISC	Highly recommended...  As stated, I haven't dined *in* the restaurant but stopped by there to pick up takeout and it seems a very relaxing place; also, the bar looks nice.
735	PAS	The ambiance was fine, a little loud but still nice and romantic.
736	FOOD	but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection).
737	PAS	It took about 2 1/2 hours to be served our 2 courses.
738	PAS	Who said go when the place is quiet during the day?
739	PAS	Can be a bit busy around peak times because of the size.
740	FOOD	I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome chicken tacos and Hibiscus lemonade.
741	FOOD	good place to hang out during the day after shopping or to grab a simple soup or classic french dish over a glass of wine.
742	PAS	Very nice touch that very much fits the place.
743	PAS	However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile.
744	MISC	We were seated promptly in close proximity to the dance floor.
745	MISC	If you are here as a pre-show meal, hop in a cab and take the extra 10 minutes to go to the uptown location.
746	PAS	A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.
747	FOOD	The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good.
748	MISC	It's best to go on a cold night with a close friend or a good book.
749	MISC	Slow service, but when you're hanging around with groups of 10 or 20, who really notices?
750	FOOD	The sauce is excellent (very fresh) with dabs of real mozzarella.
751	FOOD	Don't ever bother - the drinks were awful, but it was the people who work there that really made this the worst experience at dining.
752	PAS	The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go.
753	PAS	Prices even outside of restaurant week were great.
754	PAS	A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.
755	MISC	Before the place didn't call my attention.
756	PAS	And all the [female] servers are cute too, which is always nice.
757	FOOD	The best dessert, a chocolate and peanut butter tart, isn't particularly Hawaiian, but it's a small world when it comes to sweets.
758	FOOD	for an appetizer, their calamari is a winner.
759	FOOD	Satay is one of those favorite haunts on Washington where the service and food is always on the money.
760	PAS	After dinner I heard music playing and discovered that there is a lounge downstairs.
761	PAS	But now that it's under new ownership and has been renovated, it looks great.
762	PAS	The room is a gorgeous, bi-level space and the long bar perfect for a drink.
763	MISC	Now we moved out of the state and every visit to NYC includes a stop here.
764	FOOD	Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.
765	MISC	I don't remember what we had; nothing was memorable.
766	FOOD	It is bland and nothing extrodinary.
767	PAS	I was especially impressed during the bday party when the waitstaff went above and beyond in helping me decorate and bring out a bday cake as well as offering prompt and friendly service to a 15 person party.
768	FOOD	The chicken and falafel platters were nondescript combinations with fresh leaf salad.
769	MISC	Every time I visit NYC, I come here.
770	MISC	I've been coming here regularly since it opened, about 2 years ago.
771	PAS	The atmosphere takes you to that place, the place many dream of.
772	PAS	several times and put up with the waiters' bad manners, knowing that their job isn't easy.
773	FOOD	The service is great (maybe even borderline nagging but at least you get attention), the desserts are excellent and the coffee is so very good...
774	MISC	We were seated next to a couple whose kitchen was being renovated and we agreed since we're all foodies who eat out a lot - that this wasn't a place we'd return to.
775	FOOD	They are served on Focacchia bread and are to die for.
776	FOOD	While the smoothies are a little big for me, the fresh juices are the best I have ever had!
777	FOOD	The food is just OKAY, and it's almost not worth going unless you're getting the pialla, which is the only dish that's really good.
778	FOOD	The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
779	FOOD	The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone.
780	FOOD	It' only open for lunch but the food is so good!
781	FOOD	If you like seafood and/or Greek food you will love this place though it is not limited to just these things.
782	FOOD	" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as "vegetarians.
783	FOOD	How can they survive serving mediocre food at exorbitant prices?!
784	FOOD	The food was mediocre and the service was severely slow.
785	FOOD	i have eaten here on a different occasion - the food is mediocre for the prices.
786	FOOD	I'm looking forward to going back soon and eventually trying most everything on the menu!
787	MISC	I just had my first visit to this place and can't wait to go back and slowly work my way through the menu.
788	MISC	I asked repeatedly what the status of the meal was and was pretty much grunted at by the unbelievably rude waiter.
789	FOOD	I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.
790	PAS	Weekends can get crowded, but still highly recommended.
791	PAS	It gets very crowded so I would suggest that you get their early.
792	PAS	Sweet Irish bartender is always happy and able to bring a smile to my friends a my face.
793	MISC	I always find myself sitting next to someone in the theatre industry- interesting to hear ideas hashed out while having a quick bite to eat.
794	PAS	Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.
795	PAS	Anyway, the owner was fake.
796	PAS	Owner is pleasant and entertaining.
797	FOOD	I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this.
798	FOOD	Although the restaurant itself is nice, I prefer not to go for the food.
799	FOOD	Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.
